fMRI,city,ZipCode,state,lat,lng
1,Holt,48842,MI,42.6272648,-84.5536678
1,Los Angeles,90046,CA,34.1147313,-118.3637264
1,Arlington,22201,VA,38.8845126,-77.0938583
1,Tempe,85283,AZ,33.3684114,-111.9343636
1,Grand Ledge,48837,MI,42.7243308,-84.7524482
1,Perry,48872,MI,42.7759565,-84.2067992
1,Royal Oak,48067,MI,42.4922946,-83.1327332
1,Waterford,48327,MI,42.645278,-83.4109834
1,DeWitt,48820,MI,42.8722569,-84.5850997
1,Ypsilanti,48197,MI,42.1966292,-83.6135572
1,Haslett,48840,MI,42.7546309,-84.3647199
1,Eaton Rapids,48827,MI,42.5437604,-84.6479124
1,Kalamazoo,49001,MI,42.2593625,-85.5715015
1,Webberville,48858,MI,43.6151255,-84.7942091
1,New York,10128,NY,40.7826039,-73.9506774
1,Grand Ledge,48837,MI,44.3148443,-85.6023643
1,East Lansing,48823,MI,42.758734,-84.448772
1,Portland,48875,MI,42.8486784,-84.9193082
1,Charlotte,48813,MI,42.5514396,-84.8150781
1,Owosso,48867,MI,43.0089792,-84.2067992
1,Dimondale,48821,MI,42.6517139,-84.6583745
1,Lansing,48906,MI,42.7842327,-84.5746243
1,Toole,84074,UT,40.5916513,-112.3099336
1,Lansing,48912,MI,42.7376689,-84.5169757
1,Eaton Rapids,48827,MI,42.5437604,-84.6479124
1,Haslett,48840,MI,42.7546309,-84.3647199
1,Potterville,48876,MI,42.6555798,-84.7420032
1,Harrison,48625,MI,44.0565054,-84.8567932
1,Ann Arbor,48105,MI,42.3295957,-83.7092861
1,Lansing,48906,MI,42.7842327,-84.5746243
1,Laingsburg,48848,MI,42.9009971,-84.375233
1,Lansing,48915,MI,42.737853,-84.5720052
1,Lansing,48917,MI,42.7287542,-84.6374484
1,Holt,48842,MI,42.6272648,-84.5536678
1,Fowler,48835,MI,43.0352846,-84.7524482
1,Shepherd,48883,MI,43.5326806,-84.6688348
1,Laingsburg,48848,MI,42.9009971,-84.375233
1,St Johns,48879,MI,43.0011205,-84.5591239
1,Frisco,80443,CO,39.5140406,-106.1816196
1,Lansing,48917,MI,42.7287542,-84.6374484
1,Haslett,48840,MI,42.7546309,-84.3647199
1,St Johns,48879,MI,43.0011205,-84.5591239
1,Lebanon,46052,IN,40.0503732,-86.4592091
1,Lansing,48911,MI,42.6663024,-84.5536678
1,Laingsburg,48848,MI,42.9009971,-84.375233
1,Bellaire,49615,MI,44.9553719,-85.2008005
1,Holt,48842,MI,42.6272648,-84.5536678
1,Washington,20010,DC,38.9339046,-77.030539
1,Lansing,48910,MI,42.7043124,-84.5327038
1,Mason,48854,MI,42.593444,-84.4592701
1,Camp Lejune,28542,NC,34.67,-77.34
1,Owosso,48867,MI,43.0089792,-84.2067992
1,Lansing,48915,MI,42.737853,-84.5720052
1,Perry,48872,MI,42.7759565,-84.2067992
1,Lansing,48912,MI,42.7376689,-84.5169757
1,Lansing,48912,MI,42.7376689,-84.5169757
1,Portage,49002,MI,42.1805732,-85.5715015
1,Williamston,48895,MI,42.702277,-84.2910759
1,Durand,48429,MI,42.9118821,-83.984674
1,Ovid,48866,MI,42.9786141,-84.375233
1,Reno,89506,NV,39.6837974,-119.8583772
1,Lansing,48912,MI,42.7376689,-84.5169757
1,Chenoa,61726,IL,40.728745,-88.6916315
1,Dewitt,48820,MI,42.8722569,-84.5850997
1,Ann Arbor,48103,MI,42.2475863,-83.8260884
1,Lansing,48933,MI,42.7371075,-84.5562878
1,Lansing,48917,MI,42.7287542,-84.6374484
1,Eagle,48822,MI,42.8411596,-84.7524482
